fd_id,ft_id,"fd_type","fd_name",fd_smallPrice,fd_largePrice,"fd_comments"
1361,1,"Extra","Yogurt",0,0.5,""
1362,1,"Drinks","Can soda",0,0.75,""
1363,1,"Drinks","Water",0,1.25,""
1364,1,"Drinks","Soda 20 oz",0,1.5,""
378,2,"Salad","Tabouly Salad",0,3.75,""
379,2,"Salad","Greek Salad",3.75,4.5,""
380,2,"Shawarma","Shawarma",0,5.75,""
381,2,"Soup","Lentil Soup",0,1.5,""
382,2,"Vegetarian","Falafel Sandwich",0,3.25,""
383,2,"Vegetarian","Falafel Platter",0,4.5,""
384,2,"Vegetarian","Falafel w/ Cheese",0,3.75,""
385,2,"Vegetarian","Falafel w/Hommos",0,3.75,""
386,2,"Vegetarian","Falafel w/Baba Ghannoug",0,3.75,""
387,2,"Vegetarian","Falafel w/Tabouly",0,3.75,""
388,2,"Combo","Falafel/ Baba/ Hommos/ Tabouli",0,5,""
389,2,"Sandwich","Hommos Sandwich",0,3.75,""
390,2,"Sandwich","Baba Ghannoug Sandwich",0,3.75,""
391,2,"Sandwich","Hommos Baba Sandwich",0,4,""
392,2,"Platter","Hommos Platter",0,4.75,""
393,2,"Platter","Baba Ghannoug Platter",0,4.75,""
394,2,"Platter","Hommos & Baba Platter",0,5,""
395,2,"Meats","Shish Kabob Sandwich",0,5,""
396,2,"Meats","Chicken Kabob Sandwich",0,5,""
397,2,"Meats","Shish Tawook Sandwich",0,5,""
398,2,"Meats","Shish Kabob Platter",0,5.75,""
399,2,"Meats","Chicken Kabob Platter",0,5.75,""
400,2,"Meats","Shish Tawook Platter",0,6,""
401,2,"Drinks","Can Soda",0,0.75,""
402,2,"Drinks","Bottle Soda",0,1.35,""
403,2,"Drinks","Juice",0,1.35,""
404,2,"Drinks","Mistic",0,1.35,""
405,2,"Drinks","Snapple",0,1.35,""
406,2,"Drinks","Hot Coffee",0,1,""
407,2,"Drinks","Hot Tea",0,1,""
708,3,"Sides","Bacon ",0,1,"2 slices"
709,3,"Sides","Turkey Bacon",0,1.25,"2 slices"
710,3,"Sides","Boiled Egg",0,0.5,""
711,3,"Combo Special","Cheese Steak Combo",0,5.5,"with one chip and one soda"
712,3,"Combo Special","Chicken Steak Combo",0,5.5,"with one chip and one soda"
713,3,"Combo Special","Grilled Chicken Combo",0,5.5,"with one chip and one soda"
714,3,"Combo Special","Gyro Combo",0,4.5,"with one chip and one soda"
715,3,"Combo Special","Bacon Cheese Burger Combo",0,5.25,"with one chip and one soda"
716,3,"Combo Special","Club Sandwich Combo",0,5.25,"with one chip and one soda"
717,3,"Combo Special","Hot Sausage Combo",0,4,"with one chip and one soda"
718,3,"Combo Special","Two Hot Dog Combo",0,4.25,"with one chip and one soda"
719,3,"Specials","Grilled Chicken",0,3.75,"on Pita Wrap"
720,3,"Specials","Grilled Veggie",0,2.75,"on Pita Wrap"
721,3,"Specials","Chicken Parm",0,4,"on Pita Wrap"
722,3,"Specials","Grilled Turkey Vegetables",0,3.5,"on Pita Wrap"
723,3,"Specials","Chicken Caesar",0,3.75,"on Pita Wrap"
724,3,"Specials","Grilled Cheese Bacon",0,2.75,"on Pita Wrap"
725,3,"Specials","Grilled Bacon Vegetable and Cheese",0,3.5,"on Pita Wrap"
726,3,"Specials","Grilled Ham and Cheese ",0,2.75,"on Pita Wrap"
727,3,"Specials","Tuna Melt",0,3,"on Pita Wrap"
728,3,"Breakfast","Egg Sandwich",1.75,2,""
729,3,"Breakfast","Egg White",1.75,2.25,""
730,3,"Breakfast","Egg and Cheese",2,2.25,""
731,3,"Breakfast","Bacon Egg and Cheese",2.5,3,""
732,3,"Breakfast","Sausage Egg and Cheese",2.5,3,""
733,3,"Breakfast","Ham Egg and Cheese",2.5,3,""
734,3,"Breakfast","Pork Roll and Cheese",2.5,3,""
735,3,"Breakfast","Scrapple Egg and Cheese",2.5,3,""
736,3,"Turkey Bacon","Turkey Bacon Egg and Cheese",2.75,3.25,""
737,3,"Turkey Bacon","Turkey Sausage Egg and Cheese",2.75,3.25,""
738,3,"Turkey Bacon","Grill Cheese Turkey Bacon",2.5,0,""
739,3,"Bagel Sandwich","Bacon and Cream Cheese",0,2.5,""
740,3,"Bagel Sandwich","Grilled Cheese and Bacon",0,2.5,""
741,3,"Bagel Sandwich","Egg and Cheese",0,2.25,""
742,3,"Bagel Sandwich","Bacon Egg and Cheese",0,2.75,""
743,3,"Bagel Sandwich","Turkey Bacon Egg and Cheese",0,3,""
744,3,"Bagel Sandwich","Grilled Cheese Tomato and Bacon",0,3,""
745,3,"Bagel Sandwich","BLT",0,3,""
746,3,"Bagel Sandwich","Vegetable Egg White",0,2.75,""
747,3,"Bagel Sandwich","Vegetable Egg White and Bacon",0,3,""
748,3,"Omelets","Western Omelet and Bacon or Ham",3,3.5,""
749,3,"Omelets","Vegetable Omelet",2.5,3,""
750,3,"Omelets","White Egg and Vegetable Omelet",2.5,3,""
751,3,"All Beef","Beef Sausage Egg and Cheese",0,3.25,""
752,3,"All Beef","Steak Egg and Cheese",0,4.25,""
753,3,"Breakfast Platters","Bacon Egg and Cheese",0,3.5,""
754,3,"Breakfast Platters","Vegetable Omelet and Cheese",0,3,""
755,3,"Breakfast Platters","Vegetable Omelet and Bacon or Ham",0,4,""
756,3,"Breakfast Platters","Steak Egg and Cheese",0,4.25,""
757,3,"Breakfast Platters","with Toasted Bread",0,0.5,""
758,3,"Beef Steak","Cheese Steak",0,3.75,""
759,3,"Beef Steak","Pizza Steak",0,4.25,""
760,3,"Beef Steak","Mushroom Cheese Steak",0,4,""
761,3,"Beef Steak","Pepper Cheese Steak",0,4,""
762,3,"Beef Steak","Cheese Steak Hoagie",0,4,""
763,3,"Chicken Steak","Cheese Steak",0,3.75,""
764,3,"Chicken Steak","Pizza Steak",0,4.25,""
765,3,"Chicken Steak","Mushroom Cheese Steak",0,4,""
766,3,"Chicken Steak","Pepper Cheese Steak",0,4,""
767,3,"Chicken Steak","Cheese Steak Hoagie",0,4,""
768,3,"Hoagies","Ham Hoagie",2.75,3.5,""
769,3,"Hoagies","Turkey Hoagie",2.75,3.5,""
770,3,"Hoagies","Chicken Salad",2.75,3.5,""
771,3,"Hoagies","Tuna Salad",2.75,3.5,""
772,3,"Hoagies","Egg Salad",2.75,3.5,""
773,3,"Hoagies","Sea Food Salad",2.75,3.5,""
774,3,"Hoagies","Cheese Hoagie",2.75,3.5,""
775,3,"Sandwich","Egg Salad",0,2.75,"on Pita White Wheat or Rye"
776,3,"Sandwich","Tuna Salad",0,2.75,"on Pita White Wheat or Rye"
777,3,"Sandwich","Chicken Salad",0,2.75,"on Pita White Wheat or Rye"
778,3,"Sandwich","Sea Food Salad",0,2.75,"on Pita White Wheat or Rye"
779,3,"Sandwich","Turkey",0,2.75,"on Pita White Wheat or Rye"
780,3,"Sandwich","Ham",0,2.75,"on Pita White Wheat or Rye"
781,3,"Club Sandwiches","Turkey Club",0,3.5,"on Toasted Pita White Wheat or Rye with Bacon"
782,3,"Club Sandwiches","Ham Club",0,3.5,"on Toasted Pita White Wheat or Rye with Bacon"
783,3,"Club Sandwiches","Tuna Salad Club",0,3.5,"on Toasted Pita White Wheat or Rye with Bacon"
784,3,"Club Sandwiches","Chicken Salad Club",0,3.5,"on Toasted Pita White Wheat or Rye with Bacon"
785,3,"Club Sandwiches","Egg Salad Club",0,3.5,"on Toasted Pita White Wheat or Rye with Bacon"
786,3,"Club Sandwiches","Seafood Salad Club",0,3.5,"on Toasted Pita White Wheat or Rye with Bacon"
787,3,"Club Sandwiches","B.L.T.",0,2.75,"on Toasted Pita White Wheat or Rye with Bacon"
788,3,"Beef","Hot Dog",0,1.25,""
789,3,"Beef","Hot Sausage",0,2,""
790,3,"Beef","Meatball",2.75,3.5,""
791,3,"Beef","Cheese Burger",0,2.75,""
792,3,"Beef","Bacon Cheese Burger",0,3.5,""
793,3,"Gyros","Regular Gyro",0,2.75,""
794,3,"Gyros","Chicken Gyro",0,2.75,""
795,3,"Gyros","with American Cheese Provo or Feta",0,0.5,"extras"
796,3,"Salad Platters","Garden Salad",0,2.75,"Lettuce Tomatos Cucumbers Green Peppers Hot or Swe"
797,3,"Salad Platters","Greek Salad",0,3.75,"Lettuce Tomatos Cucumbers Green Peppers Hot or Swe"
798,3,"Salad Platters","Chicken Salad",0,3.75,"Lettuce Tomatos Cucumbers Green Peppers Hot or Swe"
799,3,"Salad Platters","Tuna Salad",0,3.75,"Lettuce Tomatos Cucumbers Green Peppers Hot or Swe"
800,3,"Salad Platters","Sea Food Salad",0,3.75,"Lettuce Tomatos Cucumbers Green Peppers Hot or Swe"
801,3,"Salad Platters","Turkey/Cheese Salad",0,3.75,"Lettuce Tomatos Cucumbers Green Peppers Hot or Swe"
802,3,"Salad Platters","Chef Salad",0,3.75,"Lettuce Tomatos Cucumbers Green Peppers Hot or Swe"
803,3,"Drinks","Coffee",0.75,1.25,"Medium is $1"
804,3,"Drinks","Tea",0.75,1.25,"Medium is $1"
805,3,"Drinks","Hot Chocolate",0.75,1.25,"Medium is $1"
806,3,"Drinks","Soda",0.75,1.5,"Small is can Large is bottle"
807,3,"Drinks","Water",0,1.25,""
808,3,"Drinks","Juice",0,1.5,""
1589,4,"Side Order","Salad",0,1.25,""
1590,4,"Side Order","Avocado Salad",0,2,""
1591,4,"Side Order","Shumai",0,3,""
1592,4,"Side Order","Goyza",0,3,""
1593,4,"Side Order","Caviar",0,2,""
1594,4,"Side Order","Shrimp",0,2,""
1595,4,"Side Order","Octopus",0,2,""
1596,4,"Side Order","Mackerel",0,2,""
1597,4,"Side Order","Kanikama",0,2,""
1598,4,"Side Order","Water Eel",0,3,""
1599,4,"Side Order","Tuna Sushi",0,2,""
1600,4,"Side Order","Tuna Roll",0,2.5,""
1601,4,"Side Order","Salmon Sushi",0,2,""
1602,4,"Side Order","Salmon Roll",0,2.5,""
1603,4,"Side Order","Philly Roll",0,2.5,""
1604,4,"Side Order","Bento Roll",0,3.5,""
1605,4,"Side Order","Boston Roll",0,3.25,""
1606,4,"Side Order","Pickle Roll",0,2,""
1607,4,"Side Order","Squash Roll",0,2,""
1608,4,"Side Order","Avocado Roll",0,1.75,""
1609,4,"Side Order","Cucumber Roll",0,1.75,""
1610,4,"Side Order","Alaska Roll",0,3,""
1611,4,"Side Order","California Roll",0,2.25,""
1612,4,"Side Order","Spicy Tuna Roll",0,3,""
1613,4,"Side Order","Spicy Salmon Roll",0,3,""
1614,4,"Side Order","American Dream Roll",0,3.5,""
1615,4,"Side Order","Avocado Cucumber Roll",0,2,""
1616,4,"Sushi Bento","Philly Bento ",0,5.75,""
1617,4,"Sushi Bento","Alaska Bento",0,6.25,""
1618,4,"Sushi Bento","Sushi Bento A",0,6,""
1619,4,"Sushi Bento","Sushi Bento B",0,7.5,"1 Tuna Roll and 7 Pieces Sushi"
1620,4,"Sushi Bento","Futo Maki Bento",0,6.25,""
1621,4,"Sushi Bento","California Bento",0,5,""
1622,4,"Sushi Bento","Teka Maki Bento",0,5.75,""
1623,4,"Sushi Bento","Tuna Love Bento",0,7.25,"1 Tuna Roll and 5 Pieces Tuna"
1624,4,"Sushi Bento","Salmon Roll Bento",0,5.75,""
1625,4,"Sushi Bento","Salmon Love Bento",0,7.25,"1 Salmon and 5 Pieces Salmon"
1626,4,"Sushi Bento","Vegetarian Sushi Bento",0,6,"3 Kind Vegetarian Roll"
1627,4,"Sushi Bento","Combination Roll Bento",0,7.25,"1 Tuna 1 Salmon 1 Cali"
1628,4,"Tempura","Crab Tempura",0,4.75,""
1629,4,"Tempura","Shrimp Tempura",0,6,""
1630,4,"Tempura","Chicken Tempura",0,5,""
1631,4,"Tempura","Vegetable Tempura",0,4.25,""
1632,4,"Special","Ala Carte Box",0,4,"No salad and sushi"
1633,4,"Teriyaki","Beef Teriyaki",0,5.25,""
1634,4,"Teriyaki","Tofu Teriyaki",0,4.5,""
1635,4,"Teriyaki","Tuna Teriyaki",0,6,""
1636,4,"Teriyaki","Salmon Teriyaki",0,6,""
1637,4,"Teriyaki","Seafood Teriyaki",0,6.5,""
1638,4,"Teriyaki","Chicken Teriyaki",0,5,""
1639,4,"Teriyaki","Vegetable Teriyaki",0,4.25,""
1640,4,"Hibachi","Beef Hibachi",0,5.25,""
1641,4,"Hibachi","Tofu Hibachi",0,4.5,""
1642,4,"Hibachi","Tuna Hibachi",0,6,""
1643,4,"Hibachi","Salmon Hibachi",0,6,""
1644,4,"Hibachi","Seafood Hibachi",0,6.5,""
1645,4,"Hibachi","Chicken Hibachi",0,5,""
1646,4,"Hibachi","Vegetable Hibachi",0,4.25,""
1647,4,"Katsu","Pork Katsu",0,5,""
1648,4,"Katsu","Chicken Katsu",0,5,""
1649,4,"Yakiudon","Beef Yakiudon",0,4.25,""
1650,4,"Yakiudon","Chicken Yakiudon",0,4.25,""
1651,4,"Yakiudon","Vegetable Yakiudon",0,4.25,""
852,5,"Special","Mr. Bui's",0,4.5,"Chicken or beef cheese steak teriyaki"
853,5,"Special","Mrs. Bui's",0,4.5,"Chicken or beef cheese steak spinach"
854,5,"Special","Mix Veggies",0,3,"Egg Cheese"
855,5,"Special","Mix Veggies",0,3.75,"Egg White"
856,5,"Special","Pepperoni Egg Cheese",0,2.75,"Top with Bui's Special sauce"
857,5,"Special","Pepperoni Egg Cheese",0,3.5,"Egg White"
858,5,"Special","Hangover Special",0,6,"Bacon ham and sausage egg cheese with Gatorade"
859,5,"Special","Bacon Egg Salad Hoagie",0,4,"Pork bacon egg salad lettuce tomato"
860,5,"Special","Turkey Bacon BLT",0,4.25,"Top with Bui's Special sauce"
861,5,"Special","Pepperoni Pizza Steak",0,4,"Provolone cheese and pizza sauce onion"
862,5,"Special","Double Turkey Hoagie",0,4.75,"Cold cut turkey lettuce turkey bacon"
863,5,"Breakfast","Eggs and Cheese",0,2.25,""
864,5,"Breakfast","Eggs and Pork Bacon",0,2.5,""
865,5,"Breakfast","Eggs and Turkey Bacon",0,3.5,""
866,5,"Breakfast","Eggs and Ham",0,2.5,""
867,5,"Breakfast","Eggs and Scrapple",0,3.5,""
868,5,"Breakfast","Eggs and Pork Roll",0,3.5,""
869,5,"Breakfast","Eggs and Sausage",0,2.5,""
870,5,"Breakfast","Eggs White",0,2.5,""
871,5,"Breakfast","Eggs White and Cheese",0,2.75,""
872,5,"Breakfast","Double Eggs White",0,3.5,""
873,5,"Breakfast","Double Eggs White and Cheese",0,3.75,""
874,5,"Breakfast","Sausage and Roll",0,2.25,""
875,5,"Breakfast","Steak and Eggs",0,4.5,""
876,5,"Hoagies","Ham and Cheese",0,3.5,""
877,5,"Hoagies","Turkey and Cheese",0,3.5,""
878,5,"Hoagies","Tuna Fish",0,3.5,""
879,5,"Hoagies","Chicken Salad",0,3.75,""
880,5,"Hoagies","Egg Salad",0,3,""
881,5,"Hoagies","Cheese Hoagie",0,3.25,""
882,5,"Hoagies","BLT",0,2,""
883,5,"Hoagies","Hotdog",0,1.25,""
884,5,"Hoagies","Hot Sausage",0,2,""
885,5,"Hoagies","Meatball",0,2.75,""
886,5,"Steaks","Plain Steak",0,3.25,""
887,5,"Steaks","Cheese Steak",0,3.5,""
888,5,"Steaks","Chicken Steak",0,3.5,""
889,5,"Steaks","Pepper Steak",0,3.75,""
890,5,"Steaks","Mushroom Steak",0,3.75,""
891,5,"Steaks","Pizza Steak",0,3.75,""
892,5,"Cheese Burgers","Cheese Burger",0,2,""
893,5,"Cheese Burgers","Double Cheese Burger",0,2.75,""
894,5,"Cheese Burgers","Bacon Cheese Burger",0,2.5,""
895,5,"Cheese Burgers","Pizza Cheese Burger",0,2.25,""
896,5,"Sandwiches","Pork Ham",0,2.75,""
897,5,"Sandwiches","Turkey",0,2.75,""
898,5,"Sandwiches","Tuna Salad",0,2.75,""
899,5,"Sandwiches","Chicken Salad",0,3,""
900,5,"Sandwiches","Egg Salad",0,2.5,""
901,5,"Hamburger","Hamburger",0,1.75,""
902,5,"Hamburger","Double Hamburger",0,2.5,""
903,5,"Hamburger","Bacon Hamburger",0,2.25,""
904,5,"Hamburger","Pizza Hamburger",0,2,""
905,5,"Extras","Cheese",0,1,""
906,5,"Extras","Ham or Sausage",0,1,""
907,5,"Extras","Pork Bacon",0,1.25,""
908,5,"Extras","Turkey Bacon",0,1.75,""
909,6,"Vegetable Sandwiches","Hoummos",0,3,"with Salad"
910,6,"Vegetable Sandwiches","Baba Ghanouhj",0,3.5,"with Salad"
911,6,"Vegetable Sandwiches","Hoummos and Baba Ghanouhj",0,3.75,"with Salad"
912,6,"Vegetable Sandwiches","Baba Ghanouhj and Feta Cheese",0,4,"with Salad"
913,6,"Vegetable Sandwiches","Stuffed Grape Leaves",0,3.25,"with Salad"
914,6,"Vegetable Sandwiches","Grape Leaves and Feta Cheese",0,3.75,"with Salad"
915,6,"Vegetable Sandwiches","Falafel Vegetable Patties",0,3.5,"with Salad"
916,6,"Vegetable Sandwiches","Falafel with Hoummos",0,3.75,"with Salad"
917,6,"Vegetable Sandwiches","Falafel and Feta Cheese",0,4,"with Salad"
918,6,"Vegetable Sandwiches","Falafel with Hoummos and Feta Cheese",0,4.25,"with Salad"
919,6,"Vegetable Sandwiches","Falafel and Baba Ghanouhj",0,4,"with Salad"
920,6,"Vegetable Sandwiches","Falafel with Everything",0,4.5,"with Salad"
921,6,"Vegetable Sandwiches","Zucchini and Feta Cheese Ball",0,4,"with Salad"
922,6,"Vegetable Sandwiches","Zucchini and Falafel",0,4.5,"with Salad"
923,6,"Vegetable Sandwiches","Zucchini and Baba Ghanouhj",0,4.5,"with Salad"
924,6,"Vegetable Sandwiches","Greek Salad Sandwich",0,3.25,"with Salad"
925,6,"Sandwiches with White Meat and Beef","Chicken Kabab",0,4.75,"with Salad"
926,6,"Sandwiches with White Meat and Beef","Chicken and Hoummos",0,5,"with Salad"
927,6,"Sandwiches with White Meat and Beef","Chicken and Falafel",0,5,"with Salad"
928,6,"Sandwiches with White Meat and Beef","Chicken and Babab Ghanouhj",0,5.25,"with Salad"
929,6,"Sandwiches with White Meat and Beef","Chicken and Feta Cheese",0,5.25,"with Salad"
930,6,"Sandwiches with White Meat and Beef","Chicken with Everything",0,5.75,"with Salad"
931,6,"Sandwiches with White Meat and Beef","Grilled Kefta Lean Beef Burger",0,5,"with Salad"
932,6,"Sandwiches with White Meat and Beef","Grilled Kefta with Hoummos",0,5.25,"with Salad"
933,6,"Sandwiches with White Meat and Beef","Grilled Kefta with Baba Ghanouhj",0,5.5,"with Salad"
934,6,"Sandwiches with White Meat and Beef","Grilled Kefta with Feta Cheese",0,5.5,"with Salad"
935,6,"Sandwiches with White Meat and Beef","Grilled Kefta with Everything",0,6,"with Salad"
936,6,"Platters","Regular Platter",0,4.5,""
937,6,"Platters","Falafel Platter",0,5,""
938,6,"Platters","Two Falafel and two Grape Leaves",0,5.5,""
939,6,"Platters","Falafel and Baba Ghanouhj",0,5.5,"Dip Grilled Eggplant with Tahini"
940,6,"Platters","Zucchini and Feta Cheese Balls",0,5.25,""
941,6,"Platters","Falafel and Zucchini and Feta Cheese Balls",0,5.5,""
942,6,"Platters","Stuffed Grape Leaves",0,5.25,"Vegetarian 3 Pieces"
943,6,"Platters","Grape Leaves and Zucchini Balls",0,5.75,""
944,6,"Platters","Grape Leaves and Baba Ghanouhj",0,5.5,""
945,6,"Platters","Grilled Chicken Kabab",0,5.75,""
946,6,"Platters","Grilled Chicken and Baba Ghanouhj",0,6,""
947,6,"Platters","Grilled Chicken and Falafel",0,6,""
948,6,"Platters","Grilled Chicken and Grape Leaves",0,6,""
949,6,"Platters","Grilled Chicken and Zucchini",0,6,""
950,6,"Platters","Platter with Everything",0,7.5,"Chicken Falafel Grape Leaves Baba and Feta"
951,6,"Platters","Grilled Kefta",0,6.5,"Slice marinated beef"
952,6,"Platters","Grilled Kefta and Falafel",0,6.75,""
953,6,"Platters","Grilled Kefta and Baba Ghanouhj",0,6.75,""
954,6,"Platters","Grilled Kefta and Grape Leaves",0,6.75,""
955,6,"Salads","Greek Salad",0,4.75,""
956,6,"Salads","with Chicken",0,6.25,""
957,6,"Salads","Falafel",0,5.25,""
958,6,"Salads","Extras",0,0.5,"Feta Cheese Hoummos Falafel Grape Leaf or Pita"
959,6,"Special","Chicken Shaw Erma Sandwich",0,4.75,""
960,6,"Special","Chicken Shaw Erma Platter",0,5.75,""
961,6,"Special","Lamb Shaw Erma Sandwich",0,5.25,""
962,6,"Special","Lamb Shaw Erma Platter",0,6.5,""
963,6,"Special","Caesar Salad",0,3.5,""
964,6,"Special","Hotdog",0,1,""
965,6,"Special","Hot Sausage",0,1.75,""
966,6,"Special","Grilled Chicken",0,3.75,"on Roll with BBQ Sauce"
967,6,"Special","Grilled Beef",0,4,"Long roll"
968,6,"Extras","Tabouleh",0,0.25,""
969,6,"Sodas","Can",0,0.75,""
970,6,"Sodas","Bottles",0,1.25,""
971,6,"Sodas","Water",1,1.25,""
972,6,"Sodas","Orangina and Non tickets",0,1.5,""
1,8,"Sides & Extras","Extra Ingredient",0,1,""
2,8,"Sides & Extras","Raita",0,4.75,""
3,8,"Sides & Extras","Raita On Top Of Order",0,1,""
4,8,"Sides & Extras","Roti",0,1,""
5,8,"Vegetable Curries","Chollay Mutter",0,5.75,"With Rice"
6,8,"Vegetable Curries","Baingan Bhartha",0,5.75,"With Rice"
7,8,"Vegetable Curries","Alu Gobi",0,5.75,"With Rice"
8,8,"Vegetable Curries","Mixed Vegetable Curry",0,5,"With Rice"
9,8,"Vegetable Curries","Alu Chollay",0,5,"With Rice"
10,8,"Vegetable Curries","Saag Paneer",0,5,"With Rice"
11,8,"Vegetable Curries","Alu Mutter",0,5,"With Rice"
12,8,"Vegetable Curries","Mutter Paneer",0,5,"With Rice"
13,8,"Vegetable Curries","Alu Saag",0,5,"With Rice"
14,8,"Vegetable Curries","Mallie Kofta Curry",0,5,"With Rice"
15,8,"Vegetable Curries","Alu Saag Mutter",0,5.75,"With Rice"
16,8,"Vegetable Curries","Chollay Saag",0,5.75,"With Rice"
17,8,"Vegetable Curries","Vegetable Korma",0,5.5,"With Rice"
18,8,"Vegetable Curries","Dal",0,5,"With Rice"
19,8,"Vegetable Curries","Alu Curry",0,5,"With Rice"
20,8,"Vegetable Curries","Vegetable Biryani",0,6,"With Rice"
21,8,"Chicken","Chicken Curry",0,5,"With Rice"
22,8,"Chicken","Chicken Korma",0,5.5,"With Rice"
23,8,"Chicken","Chicken Madras",0,5.5,"With Rice"
24,8,"Chicken","Chicken Vindaloo",0,5.5,"With Rice"
25,8,"Chicken","Chicken Zhalfrajy",0,5.5,"With Rice"
26,8,"Chicken","Chicken Saag",0,5.5,"With Rice"
27,8,"Chicken","Chicken Bhuna",0,5.5,"With Rice"
28,8,"Chicken","Chicken Alu",0,5.5,"With Rice"
29,8,"Chicken","Chicken Makhini",0,5.5,"With Rice"
30,8,"Chicken","Sweet Chicken",0,5.5,"With Rice"
31,8,"Chicken","Chicken Vegetable",0,5.5,"With Rice"
32,8,"Chicken","Chicken Biryani",0,6,"With Rice"
33,8,"Tandoori Style Chicken","Chicken Tikka Masala",0,6,"With Rice"
34,8,"Tandoori Style Chicken","Chicken Tikka Alu",0,6,"With Rice"
35,8,"Tandoori Style Chicken","Chicken Tikka Korma",0,6,"With Rice"
36,8,"Tandoori Style Chicken","Chicken Tikka Kofta",0,6,"With Rice"
37,8,"Tandoori Style Chicken","Chicken Tikka Makhini",0,6,"With Rice"
38,8,"Tandoori Style Chicken","Chicken Tikka Saag",0,6,"With Rice"
39,8,"Tandoori Style Chicken","Chicken Tikka Seasomey",0,6,"With Rice"
40,8,"Tandoori Style Chicken","Chicken Tikka Ginger",0,6,"With Rice"
41,8,"Tandoori Style Chicken","Chicken Tikka Garlic",0,6,"With Rice"
42,8,"Beef","Beef Cube Curry",0,5,"With Rice"
43,8,"Beef","Beef Cube Madras",0,5.5,"With Rice"
44,8,"Beef","Beef Cube Alu",0,5.5,"With Rice"
45,8,"Beef","Beef Cube Vindaloo",0,5.5,"With Rice"
46,8,"Beef","Beef Cube Saag",0,5.5,"With Rice"
47,8,"Beef","Beef Cube Pasanda",0,5.5,"With Rice"
48,8,"Beef","Beef Cube Do Piyaza",0,5.5,"With Rice"
49,8,"Beef","Beef Cube Masala",0,5.75,"With Rice"
50,8,"Ground Beef","Ground Beef Curry",0,5,"With Rice"
51,8,"Ground Beef","Ground Beef Saag",0,5.5,"With Rice"
52,8,"Ground Beef","Ground Beef Alu",0,5.5,"With Rice"
53,8,"Ground Beef","Ground Beef Biryani",0,6,"With Rice"
973,7,"Breakfast","Egg Sandwich",0,0,""
974,7,"Breakfast","Egg Cheese",0,0,""
975,7,"Breakfast","Egg Mushroom Cheese",0,0,""
976,7,"Breakfast","Egg Cheese with Pepper Onions and Mushroom",0,0,""
977,7,"Breakfast","Bacon Egg",0,0,""
978,7,"Breakfast","Bacon Egg Cheese",0,0,""
979,7,"Breakfast","Ham Egg",0,0,""
980,7,"Breakfast","Ham Egg and Cheese",0,0,""
981,7,"Breakfast","Sausage Egg",0,0,""
982,7,"Breakfast","Sausage Egg and Cheese",0,0,""
983,7,"Breakfast","Turkey Bacon Egg Cheese",0,0,""
984,7,"Breakfast","Scrapple Egg Cheese",0,0,""
985,7,"Breakfast","Pork Roll Egg Cheese",0,0,""
986,7,"Breakfast","Western Omelet",0,0,""
987,7,"Breakfast","Steak Egg Cheese",0,0,""
988,7,"Lunch Hoagies","Turkey Hoagies",0,0,""
